Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases
1,  ,Male,Blouse,Clothing,53,Kentucky,L,  ,Winter,  ,Yes,Express,Yes,Yes,1,  ,Fortnightly
2,19,Male,Sweater,Clothing,  ,  ,L,Maroon,Winter,  ,Yes,Express,Yes,Yes,2,Cash,Fortnightly
3,50,Male,  ,Clothing,73,Massachusetts,S,Maroon,Spring,  ,Yes,Free Shipping,Yes,Yes,23,Credit Card,Weekly
4,  ,Male,Sandals,Footwear,90,Rhode Island,M,Maroon,Spring,3.5,Yes,Next Day Air,Yes,Yes,9,PayPal,Weekly
5,  ,Male,Blouse,Clothing,49,Oregon,M,Turquoise,Spring,2.7,Yes,Free Shipping,Yes,Yes,31,PayPal, 
6,46,Male,Sneakers,Footwear,  ,Wyoming,M,  ,Summer,2.9,Yes,Standard,Yes,Yes,1,  ,Weekly
7,63,Male,Shirt,Clothing,  ,Montana,M,  ,Fall,3.2,Yes,Free Shipping,Yes,Yes,9,Cash,Quarterly
8,  ,Male,Shorts,Clothing,  ,Louisiana,L,Charcoal,Winter,3.2,Yes,Free Shipping,Yes,Yes,19,Credit Card,Weekly
9,  ,Male,Coat,  ,97,West Virginia,L,Silver,Summer,2.6,Yes,Express,Yes,Yes,8,  , 
10,57,Male,Handbag,Accessories,  ,Missouri,M,Pink,Spring,4.8,Yes,  ,Yes,Yes,  ,Cash,Quarterly
11,53,Male,Shoes,Footwear,  ,Arkansas,L,Purple,Fall,4.1,Yes,Store Pickup,Yes,Yes,26,Bank Transfer,Bi-Weekly
12,  ,Male,Shorts,Clothing,68,Hawaii,S,Olive,Winter,4.9,Yes,Store Pickup,Yes,Yes,10,Bank Transfer,Fortnightly
13,61,Male,Coat,  ,72,Delaware,M,Gold,Winter,4.5,Yes,Express,Yes,Yes,37,  ,Fortnightly
14,  ,Male,Dress,Clothing,  ,New Hampshire,M,Violet,Spring,4.7,Yes,Express,Yes,Yes,31,PayPal,Weekly
15,  ,Male,Coat,  ,53,New York,L,Teal,Winter,4.7,Yes,Free Shipping,Yes,Yes,3,Debit Card,Weekly
